,
,
data_traditional.tif,
Emission wavelength,500 nm
NA,1.35
Refraction index,1.33
Voxel size,116 nm x 116 nm x 116 nm
Bead diameter,100 nm
,
Frame size,10 pixels
Threshold,1306
,
Theoretical FWHM in XY,190 nm
Theoratical FWHM in Z,642 nm
,
HeatMap Statistics,
FWHM min,285 nm +/- 4 nm
FWHMmin / Theoretical FWHMxy,1.504 +/- 0.019
FWHM max,315 nm +/- 7 nm
FWHMmax / Theoretical FWHMxy,1.66 +/- 0.04
FWHM z,857 nm +/- 44 nm
FWHMz / Theoretical FWHMz,1.334 +/- 0.068
z0,+/- 2.35 um
(z0 - mean(z0)) / FWHMz,+/- 3.658
Asymmetry,0.917 +/- 0.024
Theta,-33.1 deg +/- 8.4 deg
,

Bead Id,x0 (um),y0 (um),z0 (um),FWHM min (um),FWHM max (um),FWHM z (um),z0 - mean(z0) (um),Asymmetry,Theta (degrees),R^2 FWHM min/max,R^2 FWHMz,Fit valid,Centroid brightness,Fitted Brightness(A),Fitted background(B),Image name
39,11.686,-4.029,3.272,0.284,0.326,0.695,-10.646,0.869,-31.594,0.977,0.996,1,13536,14588.908,338.807,data_traditional
40,14.264,24.044,3.329,0.308,0.383,0.854,-10.589,0.804,-31.292,0.961,0.975,1,10017,10174.212,218.619,data_traditional
41,-12.771,19.914,3.602,0.31,0.375,0.873,-10.316,0.828,-36.217,0.979,0.986,1,25920,36520.219,616.105,data_traditional
42,-23.173,9.02,3.415,0.291,0.354,0.814,-10.503,0.82,-30.835,0.986,0.999,1,10780,11910.663,200.7,data_traditional
43,-9.756,-10.019,3.436,0.292,0.329,0.792,-10.482,0.889,-24.936,0.977,0.999,1,8650,8992.208,243.729,data_traditional
44,7.363,18.119,3.558,0.283,0.342,0.709,-10.36,0.829,-38.506,0.983,0.997,1,13944,16507.274,286.083,data_traditional
45,5.834,-25.087,3.507,0.287,0.33,0.82,-10.41,0.872,-33.489,0.975,0.999,1,9233,10235.632,256.102,data_traditional
46,-2.417,4.536,3.798,0.278,0.36,0.84,-10.12,0.772,-29.048,0.978,0.995,1,10400,10688.702,233.321,data_traditional
47,21.587,3.339,3.76,0.281,0.332,0.747,-10.157,0.844,-42.173,0.977,0.998,1,13458,14117.0,341.485,data_traditional
48,-21.11,-8.747,3.808,0.296,0.378,0.915,-10.11,0.782,-17.92,0.973,0.98,1,5586,7719.782,231.032,data_traditional
49,-41.946,14.911,3.931,0.285,0.371,0.879,-9.987,0.767,-17.187,0.983,0.998,1,8404,9319.731,212.441,data_traditional
50,-54.924,25.076,3.506,0.285,0.392,0.871,-10.412,0.727,-19.996,0.977,0.959,1,1314,1251.625,125.909,data_traditional
51,28.434,12.796,4.004,0.283,0.331,0.682,-9.914,0.856,-34.964,0.978,0.998,1,12059,11763.821,282.676,data_traditional
52,47.867,-4.801,3.96,0.274,0.305,0.665,-9.957,0.897,-43.24,0.985,0.993,1,12382,14732.534,273.036,data_traditional
53,-34.981,-15.895,4.015,0.32,0.376,0.821,-9.903,0.853,-18.5,0.984,0.997,1,5371,5839.316,191.914,data_traditional
54,-24.542,2.794,4.332,0.284,0.366,0.825,-9.586,0.777,-28.622,0.975,0.999,1,9520,10617.877,268.341,data_traditional
55,21.114,-15.81,4.275,0.275,0.33,0.755,-9.642,0.833,-32.539,0.974,0.998,1,13447,13454.195,343.566,data_traditional
56,-29.925,16.817,4.389,0.273,0.363,0.8,-9.529,0.753,-25.473,0.979,1.0,1,12843,12899.693,306.709,data_traditional
57,-17.494,7.931,4.486,0.293,0.361,0.812,-9.432,0.811,-32.199,0.978,0.999,1,11414,11930.84,254.37,data_traditional
58,-38.86,-14.575,4.321,0.293,0.36,0.786,-9.597,0.814,-18.138,0.979,0.99,1,4816,5645.415,185.024,data_traditional
59,-37.425,12.349,4.724,0.282,0.363,0.852,-9.194,0.778,-21.878,0.975,0.997,1,8072,9661.385,281.334,data_traditional
60,1.111,-9.923,4.935,0.284,0.341,0.655,-8.983,0.831,-31.633,0.987,0.995,1,9411,9809.559,169.985,data_traditional
61,42.951,13.77,4.986,0.28,0.304,0.66,-8.932,0.922,-39.722,0.987,0.996,1,20316,22573.605,398.885,data_traditional
62,23.518,1.805,5.056,0.287,0.334,0.746,-8.861,0.858,-31.919,0.984,0.985,1,12634,14840.635,285.066,data_traditional
63,33.066,-14.072,5.013,0.309,0.354,0.778,-8.905,0.874,-41.42,0.96,0.976,1,10954,10515.067,223.037,data_traditional
64,3.937,4.592,5.169,0.282,0.352,0.738,-8.748,0.801,-31.148,0.975,0.99,1,12641,11800.237,305.286,data_traditional
65,40.239,-1.796,5.105,0.314,0.355,0.68,-8.813,0.886,-27.742,0.969,0.98,1,10992,11528.901,175.875,data_traditional
66,31.951,1.664,5.223,0.275,0.317,0.682,-8.695,0.868,-33.002,0.985,0.998,1,12395,14867.675,283.023,data_traditional
67,38.708,-8.26,5.286,0.282,0.32,0.624,-8.632,0.88,-31.491,0.985,0.996,1,14438,15162.732,289.851,data_traditional
68,18.276,-14.799,5.348,0.269,0.31,0.587,-8.57,0.868,-35.391,0.98,0.994,1,11020,13936.466,320.359,data_traditional
69,1.836,-19.244,5.411,0.273,0.33,0.672,-8.507,0.828,-29.111,0.976,0.998,1,10664,10540.261,261.023,data_traditional
70,-39.27,2.068,5.542,0.283,0.373,0.84,-8.376,0.759,-22.798,0.979,0.997,1,7752,8232.108,213.333,data_traditional
71,4.512,2.176,5.63,0.274,0.333,0.701,-8.288,0.824,-28.586,0.977,0.997,1,19079,18008.411,408.157,data_traditional
72,4.772,-6.642,5.583,0.276,0.326,0.741,-8.335,0.847,-32.524,0.981,0.984,1,10482,13265.869,298.111,data_traditional
